,id,full_text,word_len,favorite_count,retweet_count,date,created_at,detected_language,language_confidence
91,1.3131398680385085e+18,fraksi,6,10,1,2020-10-05,2020-10-05 15:31:56,en,1.0
92,1.3131322981838602e+18,quesolike,9,414,62,2020-10-05,2020-10-05 15:01:51,en,1.0
93,1.313056768642216e+18,nonmercantilist,15,27,6,2020-10-05,2020-10-05 10:01:43,eu,0.69259554
94,1.3130493008349553e+18,telamones,9,3,2,2020-10-05,2020-10-05 09:32:03,eu,0.7271387
95,1.312958754992853e+18,mobiuses,8,61,11,2020-10-05,2020-10-05 03:32:15,en,1.0
96,1.3128906961945027e+18,friyers,7,14,1,2020-10-04,2020-10-04 23:01:48,en,0.48403397
97,1.3128152259393372e+18,commingl,8,60,5,2020-10-04,2020-10-04 18:01:55,en,1.0
98,1.3124226390849372e+18,hogweeds,8,28,4,2020-10-03,2020-10-03 16:01:55,en,0.8072917
99,1.3124150661474304e+18,megablazes,10,52,13,2020-10-03,2020-10-03 15:31:49,fy,0.33913907
100,1.3123245154568438e+18,recreationalized,16,36,4,2020-10-03,2020-10-03 09:32:00,en,1.0
101,1.31221885086856e+18,nonmonagamous,13,179,14,2020-10-03,2020-10-03 02:32:08,en,0.32886612
102,1.312173437469696e+18,nonmasked,9,416,89,2020-10-02,2020-10-02 23:31:41,en,0.6155932
103,1.3121282163923763e+18,moebiuses,9,51,14,2020-10-02,2020-10-02 20:31:59,en,0.6694439
104,1.312105543360635e+18,deaccessing,11,26,7,2020-10-02,2020-10-02 19:01:53,en,1.0
105,1.312052651773825e+18,mijito,6,1144,215,2020-10-02,2020-10-02 15:31:43,en,1.0
106,1.3120377144270766e+18,futbolín,8,1590,407,2020-10-02,2020-10-02 14:32:22,ro,0.40990123
107,1.3119998083752264e+18,boujaads,8,5,1,2020-10-02,2020-10-02 12:01:44,en,0.5475364
108,1.3119847649042432e+18,immunostimulating,17,40,7,2020-10-02,2020-10-02 11:01:58,en,1.0
109,1.3119847194296033e+18,taraadi,7,0,1,2020-10-02,2020-10-02 11:01:47,en,1.0
110,1.3119625038496686e+18,biofactory,10,11,2,2020-10-02,2020-10-02 09:33:30,en,0.85026044
111,1.3119621457567212e+18,underhanders,12,3,1,2020-10-02,2020-10-02 09:32:05,tl,1.0
112,1.311909269277741e+18,orkoiyot,8,28,5,2020-10-02,2020-10-02 06:01:58,en,1.0
113,1.311886552075821e+18,yellowhammers,13,35,5,2020-10-02,2020-10-02 04:31:42,en,0.6400514
114,1.3118035320356618e+18,chestburster,12,195,41,2020-10-01,2020-10-01 23:01:48,en,1.0
115,1.311660098775855e+18,malangguy,9,6,1,2020-10-01,2020-10-01 13:31:51,en,1.0
116,1.3116600901608038e+18,tinola,6,13,3,2020-10-01,2020-10-01 13:31:49,es,0.8937867
117,1.311644997557588e+18,bespittles,10,23,4,2020-10-01,2020-10-01 12:31:51,en,0.7594707
118,1.311629853238661e+18,mumblegore,10,225,34,2020-10-01,2020-10-01 11:31:40,en,0.19379874
119,1.3115998261743084e+18,beenlaying,10,20,5,2020-10-01,2020-10-01 09:32:21,en,1.0
120,1.311599703402967e+18,envelopers,10,13,2,2020-10-01,2020-10-01 09:31:52,guen,0.48952723
121,1.3114185244101837e+18,webcammers,10,60,8,2020-09-30,2020-09-30 21:31:55,es,0.19469623
122,1.311373182226649e+18,instapoll,9,44,5,2020-09-30,2020-09-30 18:31:45,en,1.0
123,1.3113355608213217e+18,abbotbod,8,16,2,2020-09-30,2020-09-30 16:02:15,noda,0.45833182
124,1.3112375892785644e+18,atsisveikinimas,15,19,3,2020-09-30,2020-09-30 09:32:57,id,0.61604214
125,1.3112375797574984e+18,sveiki,6,3,1,2020-09-30,2020-09-30 09:32:55,haw,1.0
126,1.3111997963974738e+18,nonjudiciary,12,17,1,2020-09-30,2020-09-30 07:02:47,en,1.0
127,1.311063927929942e+18,cazzutta,8,13,1,2020-09-29,2020-09-29 22:02:53,hi,1.0
128,1.3109883895004938e+18,cyberpandemic,13,254,76,2020-09-29,2020-09-29 17:02:43,en,0.9148887
129,1.3109657761118822e+18,appressoria,11,4,1,2020-09-29,2020-09-29 15:32:52,tl,0.8811035
130,1.3109657678490296e+18,sclerotiorum,12,7,0,2020-09-29,2020-09-29 15:32:50,fr,0.2887829
131,1.3109355317993595e+18,biocomplexity,13,39,6,2020-09-29,2020-09-29 13:32:41,en,1.0
132,1.3109280088580055e+18,garvieae,8,3,1,2020-09-29,2020-09-29 13:02:47,en,0.95402175
133,1.310875238377427e+18,decoloniality,13,43,6,2020-09-29,2020-09-29 09:33:06,en,0.8557516
134,1.3107090090879508e+18,intraseries,11,11,1,2020-09-28,2020-09-28 22:32:34,en,0.6164505
135,1.3106411223315538e+18,kkwarigochu,11,13,2,2020-09-28,2020-09-28 18:02:48,en,1.0
136,1.3106411147355054e+18,jangjorim,9,10,2,2020-09-28,2020-09-28 18:02:46,la,1.0
137,1.310641100252754e+18,jeotgal,7,9,2,2020-09-28,2020-09-28 18:02:43,en,0.21500055
138,1.3106260937838223e+18,all’origine,11,13,3,2020-09-28,2020-09-28 17:03:05,enhi,0.5749394
139,1.310626085818839e+18,produtto,8,7,1,2020-09-28,2020-09-28 17:03:03,en,1.0
140,1.3106260780718858e+18,disperdere,10,5,0,2020-09-28,2020-09-28 17:03:01,ru,1.0
141,1.3106260332684042e+18,grosselage,10,3,1,2020-09-28,2020-09-28 17:02:51,en,0.5807415
142,1.3106260243051684e+18,récoltante,10,5,0,2020-09-28,2020-09-28 17:02:49,en,1.0
143,1.310565637555712e+18,vatically,9,17,1,2020-09-28,2020-09-28 13:02:51,es,0.85607284
144,1.310565629074735e+18,scurfpea,8,19,2,2020-09-28,2020-09-28 13:02:49,su,0.2990623
145,1.3105656210259845e+18,stipulatum,10,9,0,2020-09-28,2020-09-28 13:02:47,en,1.0
146,1.3105127748088259e+18,psychoticism,12,27,5,2020-09-28,2020-09-28 09:32:48,en,0.28726196
147,1.3105127668648223e+18,anxitiousness,13,50,15,2020-09-28,2020-09-28 09:32:46,en,1.0
148,1.3103769225102295e+18,juuuuuuust,10,836,111,2020-09-28,2020-09-28 00:32:58,mg,1.0
149,1.310361806653862e+18,nerdquarium,11,118,31,2020-09-27,2020-09-27 23:32:54,hi,0.6277757
150,1.3103542223162204e+18,cybercartels,12,46,13,2020-09-27,2020-09-27 23:02:46,en,1.0
151,1.310308947723776e+18,overwoke,8,389,61,2020-09-27,2020-09-27 20:02:52,en,0.90109104
152,1.3102259008317358e+18,pornomime,9,89,20,2020-09-27,2020-09-27 14:32:52,en,0.28404522
153,1.3100749413254103e+18,counterstriking,15,61,11,2020-09-27,2020-09-27 04:33:00,en,1.0
154,1.3100446739946127e+18,probablyhas,11,72,10,2020-09-27,2020-09-27 02:32:44,en,0.3115074
155,1.3099088008922644e+18,glycyrrhizic,12,66,8,2020-09-26,2020-09-26 17:32:49,en,0.8328252
156,1.3094258698117857e+18,partisaned,10,17,3,2020-09-25,2020-09-25 09:33:49,en,0.97412324
157,1.3094257254648668e+18,personstill,11,8,1,2020-09-25,2020-09-25 09:33:15,en,0.94660014
158,1.3094256379297587e+18,spectatorless,13,23,11,2020-09-25,2020-09-25 09:32:54,en,1.0
159,1.3092897296497705e+18,cardinaluntil,13,17,2,2020-09-25,2020-09-25 00:32:51,el,1.0
160,1.3091764428618916e+18,homorhythmic,12,73,17,2020-09-24,2020-09-24 17:02:41,en,1.0
161,1.309123638592e+18,flyposting,10,17,1,2020-09-24,2020-09-24 13:32:52,en,1.0
162,1.3091236007719444e+18,mercaditos,10,134,26,2020-09-24,2020-09-24 13:32:43,en,0.72762644
163,1.3090633555802563e+18,yaysayer,8,188,35,2020-09-24,2020-09-24 09:33:19,mt,0.8118691
164,1.3090330180786954e+18,multitexture,12,20,1,2020-09-24,2020-09-24 07:32:46,nl,0.81763864
165,1.3089953734118195e+18,virovores,9,17,1,2020-09-24,2020-09-24 05:03:11,en,1.0
