,id,full_text,favorite_count,retweet_count,created_at
160,1309176442861891586,homorhythmic,73,17,2020-09-24 17:02:41
161,1309123638592000008,flyposting,17,1,2020-09-24 13:32:52
162,1309123600771944449,mercaditos,134,26,2020-09-24 13:32:43
163,1309063355580256259,yaysayer,188,35,2020-09-24 09:33:19
164,1309033018078695426,multitexture,20,1,2020-09-24 07:32:46
165,1308995373411819523,virovores,17,1,2020-09-24 05:03:11
166,1308995359105069056,picozoa,15,0,2020-09-24 05:03:08
167,1308995351471325184,choanozoa,14,0,2020-09-24 05:03:06
168,1308814085035905033,rumpology,65,12,2020-09-23 17:02:49
169,1308761267935510532,multisales,8,0,2020-09-23 13:32:56
170,1308700990280028160,murble,21,5,2020-09-23 09:33:25
171,1308700876865974272,schoolcation,47,8,2020-09-23 09:32:58
172,1308497032823345152,videofication,40,6,2020-09-22 20:02:57
173,1308497013491879936,dadlifejason,35,7,2020-09-22 20:02:53
174,1308497005501722624,itsnotjakefuller,22,1,2020-09-22 20:02:51
175,1308474371367931904,rasquache,9,2,2020-09-22 18:32:55
176,1308474363230990346,ghostlings,82,19,2020-09-22 18:32:53
177,1308429107353522181,surfbreaks,18,3,2020-09-22 15:33:03
178,1308429069424394240,uncertaintyled,17,3,2020-09-22 15:32:54
179,1308406405054029829,blubberstones,31,2,2020-09-22 14:02:50
180,1308346005667053568,judgeocracy,50,12,2020-09-22 10:02:50
181,1308300711000588290,bloodybelly,33,6,2020-09-22 07:02:51
182,1308285710726647809,ecotox,22,3,2020-09-22 06:03:14
183,1308187559432945667,understepping,28,5,2020-09-21 23:33:13
184,1308134722334322694,lahpet,7,0,2020-09-21 20:03:16
185,1308134707901718528,khaut,4,2,2020-09-21 20:03:12
186,1308127162768162816,estaríamos,758,174,2020-09-21 19:33:14
187,1308104548536520705,theatering,43,8,2020-09-21 18:03:22
188,1308051697533673477,tserensodnomi,14,0,2020-09-21 14:33:21
189,1308051689065377798,fahimii,2,0,2020-09-21 14:33:19
190,1307991286545297408,lllustrations,55,4,2020-09-21 10:33:18
