Nationality,GDP_PC,USA,South Korea,India,Germany,Argentina,UK,Taiwan,Approximate_Total,Notes,Emojis,_merge
Madagascar,522.22,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇲🇬,both
Malawi,411.55,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇲🇼,both
Malaysia,11414.84,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇲🇾,both
Maldives,10790.5,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇲🇻,both
Mali,890.74,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇲🇱,both
Malta,29416.23,510,56.94,91.53,0,177.64,0,50,886.11,,🇲🇹,both
Marshall Islands,3788.16,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,2018 GDP per Capita,🇲🇭,both
Mauritania,1677.92,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇲🇷,both
Mauritius,11203.54,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇲🇺,both
Mexico,9863.07,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇲🇽,both
Micronesia,3568.29,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,2018 GDP per Capita,🇫🇲,both
Moldova,4498.52,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇲🇩,both
Monaco,185829.02,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,2018 GDP per Capita,🇲🇨,both
Mongolia,4295.24,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇲🇳,both
Montenegro,8832.04,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇲🇪,both
Morocco,3204.1,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇲🇦,both
Mozambique,491.8,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇲🇿,both
Myanmar (formerly Burma),1407.81,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇲🇲,both
Namibia,4957.46,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇳🇦,both
Nauru,9396.98,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇳🇷,both
Nepal,1071.05,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇳🇵,both
Netherlands,52447.83,510,56.94,91.53,0,177.64,0,50,886.11,,🇳🇱,both
New Zealand,42084.35,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇳🇿,both
Nicaragua,1912.9,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇳🇮,both
Niger,554.6,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇳🇪,both
Nigeria,2229.86,780,56.94,257.18,88.86,177.64,124.11,50,1534.73,Must re-apply after two years and pay a $110 visa reciprocity fee: https://travel.state.gov/content/travel/en/us-visas/Visa-Reciprocity-and-Civil-Documents-by-Country/Nigeria.html,🇳🇬,both
North Macedonia,6093.15,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇲🇰,both
Norway,75419.63,510,56.94,91.53,0,177.64,0,50,886.11,,🇳🇴,both
Oman,15474.03,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇴🇲,both
Pakistan,1284.7,510,56.94,15.01,88.86,177.64,124.11,50,1022.56,,🇵🇰,both
Palau,15859.43,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,2018 GDP per Capita,🇵🇼,both
Panama,15731.02,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇵🇦,both
Papua New Guinea,2845.18,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇵🇬,both
Paraguay,5414.8,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇵🇾,both
Peru,6977.7,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇵🇪,both
Philippines,3485.08,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇵🇭,both
Poland,15595.23,510,56.94,91.53,0,177.64,0,50,886.11,,🇵🇱,both
Portugal,23145.04,510,56.94,91.53,0,177.64,0,50,886.11,,🇵🇹,both
Qatar,64781.73,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇶🇦,both
Romania,12919.53,510,56.94,91.53,0,177.64,0,50,886.11,,🇷🇴,both
Russia,11585,650,75.92,52.56,88.86,177.64,124.11,50,1219.09,Must pay to renew F-1 visa for each additional year in the US.,🇷🇺,both
Rwanda,801.66,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇷🇼,both
Saint Kitts and Nevis,19896.5,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇰🇳,both
Saint Lucia,11611.42,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇱🇨,both
Saint Vincent and the Grenadines,7463.54,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇻🇨,both
Samoa,4315.92,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇼🇸,both
San Marino,48481.01,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,2018 GDP per Capita,🇸🇲,both
Sao Tome and Principe,1994.91,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇸🇹,both
Saudi Arabia,23139.8,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇸🇦,both
Senegal,1446.83,510,94.9,91.53,88.86,177.64,124.11,50,1137.04,,🇸🇳,both
Serbia,7402.35,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇷🇸,both
Seychelles,17401.72,510,56.94,10.73,88.86,177.64,124.11,50,1018.28,,🇸🇨,both
Sierra Leone,504.46,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇸🇱,both
Singapore,65233.28,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇸🇬,both
Slovakia,19329.1,510,56.94,91.53,0,177.64,0,50,886.11,,🇸🇰,both
Slovenia,25739.25,510,56.94,91.53,0,177.64,0,50,886.11,,🇸🇮,both
Solomon Islands,2127.54,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇸🇧,both
Somalia,126.92,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,1990 GDP per Capita,🇸🇴,both
South Africa,6001.4,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇿🇦,both
South Korea,31761.98,510,0,91.53,88.86,177.64,124.11,50,1042.14,,🇰🇷,both
South Sudan,1119.65,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,2015 GDP per Capita,🇸🇸,both
Spain,29613.67,510,56.94,91.53,0,177.64,0,50,886.11,,🇪🇸,both
Sri Lanka,3853.08,510,56.94,0,88.86,177.64,124.11,50,1007.55,No information for Indian visa fee.,🇱🇰,both
Sudan,441.51,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇸🇩,both
Suriname,6854.91,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,India: No information on visa fee.,🇸🇷,both
Sweden,51610.07,510,56.94,91.53,0,177.64,0,50,886.11,,🇸🇪,both
Switzerland,81993.73,510,56.94,91.53,0,177.64,0,50,886.11,,🇨🇭,both
Syria,2032.62,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,2007 GDP per Capita,🇸🇾,both
Taiwan,24827.9,510,56.94,91.53,88.86,177.64,124.11,0,1049.08,2019 GDP per Capita from other source: https://www.statista.com/statistics/727592/gross-domestic-product-gdp-per-capita-in-taiwan/#:~:text=In%202018%2C%20the%20GDP%20perto%20around%2025%2C007.75%20U.S.%20dollars.,🇹🇼,both
Tajikistan,870.79,510,47.45,91.53,88.86,177.64,124.11,50,1089.59,,🇹🇯,both
Tanzania,1122.12,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇹🇿,both
Thailand,7808.19,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇹🇭,both
Timor-Leste,1294.19,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇹🇱,both
Togo,675.54,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇹🇬,both
Tonga,4364.02,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,2018 GDP per Capita,🇹🇴,both
Trinidad and Tobago,17276.47,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇹🇹,both
Tunisia,3317.54,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇹🇳,both
Turkey,9042.49,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇹🇷,both
Turkmenistan,6966.64,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,2018 GDP per Capita,🇹🇲,both
Tuvalu,4059.03,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇹🇻,both
Uganda,776.77,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇺🇬,both
Ukraine,3659.03,510,56.94,96.41,88.86,177.64,124.11,50,1103.96,,🇺🇦,both
United Arab Emirates,43103.32,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇦🇪,both
United Kingdom,42300.27,510,189.8,236.72,88.86,177.64,0,50,1253.02,,🇬🇧,both
United States of America,65118.36,0,58.5,111.02,88.86,177.64,124.11,50,610.13,,🇺🇸,both
Uruguay,16190.13,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇺🇾,both
Uzbekistan,1724.84,510,66.43,91.53,88.86,177.64,124.11,50,1108.57,,🇺🇿,both
Vanuatu,3058.07,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇻🇺,both
Venezuela,16054.49,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,2014 GDP per Capita,🇻🇪,both
Vietnam,2715.28,650,47.45,91.53,88.86,177.64,124.11,50,1229.59,Must pay to renew F-1 visa for each additional year in the US.,🇻🇳,both
Yemen,968.16,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,2018 GDP per Capita,🇾🇪,both
Zambia,1291.34,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇿🇲,both
Zimbabwe,1463.99,510,56.94,91.53,88.86,177.64,124.11,50,1099.08,,🇿🇼,both
